1/28/2011,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,3.2,3.6,2.6
2/25/2011,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,2.8,3.3,3.2
3/25/2011,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,3.1,2.9,2.8
4/28/2011,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.8,1.7,3.1
5/26/2011,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,1.8,2.2,1.8
6/24/2011,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,1.9,1.9,1.8
7/29/2011,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,1.3,1.7,vised From 1.9
8/26/2011,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,1,1.1,1.3
9/29/2011,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.3,1.2,1
10/27/2011,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,2.5,2.4,1.3
11/22/2011,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,2,2.5,2.5
12/22/2011,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,1.8,2,2
1/27/2012,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,2.8,3,1.8
2/29/2012,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,3,2.8,2.8
3/29/2012,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,3,3,3
4/27/2012,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,2.2,2.5,3
5/31/2012,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,1.9,1.9,2.2
6/28/2012,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,1.9,1.9,1.9
7/27/2012,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,1.5,1.5,vised From 1.9
8/29/2012,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,1.7,1.7,1.5
9/27/2012,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,1.3,1.7,1.7
10/26/2012,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,2,1.9,1.3
11/29/2012,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,2.7,2.8,2
12/20/2012,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,3.1,2.8,2.7
1/30/2013,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.1,1.1,3.1
2/28/2013,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.1,0.5,-0.1
3/28/2013,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.4,0.5,0.1
4/26/2013,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,2.5,3,0.4
5/30/2013,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,2.4,2.5,2.5
6/26/2013,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,1.8,2.4,2.4
7/31/2013,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.7,1,vised From 1.8
8/29/2013,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,2.5,2.2,1.7
9/26/2013,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,2.5,2.6,2.5
11/7/2013,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,2.8,2,2.5
12/5/2013,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,3.6,3,2.8
12/20/2013,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,4.1,3.6,3.6
1/1/2014,4:00:00,United Kingdom                  ,Low Volatility Expected         ,Public Sector Net Cash Requirement                                                                              ,,B  ,16.28,1,8.1
1/30/2014,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,3.2,3.2,4.1
2/28/2014,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,2.4,2.5,3.2
3/27/2014,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,2.6,2.7,2.4
